VIN (1-10),County,City,State,Postal Code,Model Year,Make,Model,Electric Vehicle Type,Clean Alternative Fuel Vehicle (CAFV) Eligibility,Electric Range,Base MSRP,Legislative District,DOL Vehicle ID,Vehicle Location,Electric Utility,2020 Census Tract
5UXTA6C01N,Snohomish,Edmonds,WA,98026,2022,BMW,,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,21,197473496,POINT (-122.31768 47.87166),PUGET SOUND ENERGY INC,53061050101
5YJ3E1EB5J,Yakima,Yakima,WA,98908,2018,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,301024209,POINT (-120.60272 46.59656),PACIFICORP,53077002801
5YJ3E1EB0J,Thurston,Olympia,WA,98512,2018,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,104823078,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067012730
WBY1Z2C58F,King,Woodinville,WA,98072,2015,BMW,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,45,135735155,POINT (-122.15545 47.75448),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021906
JM3KKEHA1S,Thurston,Yelm,WA,98597,2025,MAZDA,,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,26,0,2,277393924,POINT (-122.60735 46.94239),PUGET SOUND ENERGY INC,53067012532
5YJ3E1EA8K,King,Seattle,WA,98144,2019,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,37,345180846,POINT (-122.30866 47.57874),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033009300
5YJ3E1EB0K,Snohomish,Mukilteo,WA,98275,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,21,476272863,POINT (-122.29196 47.89908),PUGET SOUND ENERGY INC,53061042005
5YJSA1E45G,Snohomish,Bothell,WA,98012,2016,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,1,477081811,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
1N4AZ0CP9D,King,Kent,WA,98031,2013,NISSAN,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,33,214316014,POINT (-122.17743 47.41185),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033029305
1N4BZ0CP2H,Thurston,Olympia,WA,98506,2017,NISSAN,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,22,310586839,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067012100
1N4AZ0CP0D,Kitsap,Kingston,WA,98346,2013,NISSAN,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,75,0,23,119157545,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
1G1FZ6S04K,Island,Langley,WA,98260,2019,CHEVROLET,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,10,151504111,POINT (-122.40618 48.0399),PUGET SOUND ENERGY INC,53029972000
YV4H600N5P,Kitsap,Poulsbo,WA,98370,2023,VOLVO,,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,23,276844494,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
5YJ3E1EB5J,Yakima,Yakima,WA,98908,2018,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,14,271848468,POINT (-120.60272 46.59656),PACIFICORP,53077000902
5YJ3E1EA4K,King,Seattle,WA,98115,2019,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,46,228724338,POINT (-122.31676 47.68156),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033002000
1C4RJYE63P,Snohomish,Arlington,WA,98223,2023,JEEP,GRAND CHEROKEE,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,25,0,39,261488244,POINT (-122.1264 48.19471),PUGET SOUND ENERGY INC,53061053507
5YJSA1V24F,Yakima,Selah,WA,98942,2015,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,0,15,258112970,POINT (-120.53145 46.65405),PACIFICORP,53077003200
LPSED3KAXM,Snohomish,Bothell,WA,98012,2021,POLESTAR,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,233,0,44,179071966,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052005
5YJ3E1EA7J,Kitsap,Bainbridge Island,WA,98110,2018,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,23,347915809,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090700
5YJXCBE2XL,King,Redmond,WA,98052,2020,TESLA,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,48,258859702,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022803
5YJ3E1EB4K,King,Redmond,WA,98052,2019,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,45,478387801,POINT (-122.13158 47.67858),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032323
1N4BZ0CP7H,Kitsap,Poulsbo,WA,98370,2017,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,107,0,23,167129224,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
7SAYGDEE8P,Thurston,Olympia,WA,98502,2023,TESLA,,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,253190605,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067010520
1G1RA6S59J,Thurston,Olympia,WA,98512,2018,CHEVROLET,,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,35,234259574,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011810
5UX43EU02R,Kitsap,Poulsbo,WA,98370,2024,BMW,X5,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,23,259427829,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035940100
5YJ3E1EBXJ,King,Bothell,WA,98011,2018,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,1,131817829,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033022102
5YJ3E1EB2R,Yakima,Yakima,WA,98902,2024,TESLA,,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,269850059,POINT (-120.52401 46.59739),PACIFICORP,53077000500
KL8CK6S02G,King,Bothell,WA,98011,2016,,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,82,0,1,8739447,POINT (-122.20563 47.76144),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033021803
5YJSA1H17E,Snohomish,Bothell,WA,98012,2014,TESLA,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,208,69900,1,107752550,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
3C3CFFGEXH,King,Seatac,WA,98188,2017,,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,33,100502083,POINT (-122.29179 47.43473),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033028802
KNDCS3LFXP,Kitsap,Silverdale,WA,98383,2023,,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,23,253387760,POINT (-122.69275 47.65171),PUGET SOUND ENERGY INC,53035090400
1G1RA6S51J,Kitsap,Poulsbo,WA,98370,2018,,,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,53,0,23,154300961,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035091100
7SAYGDEF5N,Snohomish,Bothell,WA,98012,2022,,,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,207278711,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
5LMTJ5DZ9R,Yakima,Yakima,WA,98908,2024,,CORSAIR,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,28,0,14,270125369,POINT (-120.60272 46.59656),PACIFICORP,53077000401
KMHC75LJ2L,Kitsap,Bremerton,WA,98311,2020,,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,170,0,23,270084895,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091900
5YJ3E1EB2K,Yakima,Yakima,WA,98901,2019,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,14,245782106,POINT (-120.50729 46.60464),PACIFICORP,53077001503
1N4BZ1CV2N,Thurston,Olympia,WA,98501,2022,NISSAN,,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,180122260,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010300
5YJXCAE25L,Snohomish,Marysville,WA,98270,2020,,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,38,3405531,POINT (-122.1769 48.06114),PUGET SOUND ENERGY INC,53061052905
KNDJX3AE8G,Yakima,Yakima,WA,98908,2016,,,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,93,31950,14,169289970,POINT (-120.60272 46.59656),PACIFICORP,53077000402
KNDCR3L13R,Kitsap,Port Orchard,WA,98366,2024,,NIRO,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,26,272207533,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092300
1C4RJXP63R,Thurston,Olympia,WA,98501,2024,JEEP,,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,263014804,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010400
5YJ3E1EB4J,King,Duvall,WA,98019,2018,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,45,474456237,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032402
1N4BZ1CP6K,Kitsap,Bremerton,WA,98310,2019,,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,344436088,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080300
1G1RC6E43F,Thurston,Olympia,WA,98501,2015,CHEVROLET,VOLT,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,38,0,22,270808730,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
WAUSPBFF7J,King,Burien,WA,98166,2018,AUDI,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,34,349172330,POINT (-122.34102 47.46593),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033027901
ZACPDFCW7R,Thurston,Olympia,WA,98512,2024,,HORNET,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,32,0,35,262513982,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011821
7PDSGABL8P,Snohomish,Bothell,WA,98021,2023,,R1S,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,260847485,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051932
5YJXCAE29L,King,Sammamish,WA,98074,2020,,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,293,0,45,2228670,POINT (-122.02054 47.60326),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032318
5YJ3E1EB7J,Thurston,Olympia,WA,98501,2018,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,35,474707096,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011722
5YJYGDEE6L,Snohomish,Bothell,WA,98012,2020,,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,1,125792187,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052009
5YJ3E1EB6J,Island,Oak Harbor,WA,98277,2018,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,10,272862600,POINT (-122.64682 48.29077),PUGET SOUND ENERGY INC,53029970601
7SAYGDEE2N,Yakima,Tieton,WA,98947,2022,,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,273804128,POINT (-120.75541 46.70257),PACIFICORP,53077002900
1N4AZ0CP4F,Thurston,Olympia,WA,98506,2015,,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,22,157428841,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010200
5YJXCDE20L,Thurston,Olympia,WA,98513,2020,,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,2,127502455,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012331
5YJ3E1EB8J,Snohomish,Lynnwood,WA,98036,2018,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,32,132876131,POINT (-122.29245 47.82557),PUGET SOUND ENERGY INC,53061051930
1N4AZ0CP5F,Kitsap,Bremerton,WA,98310,2015,,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,23,231472664,POINT (-122.61136 47.5752),PUGET SOUND ENERGY INC,53035080300
1N4AZ1BV5P,Thurston,Olympia,WA,98502,2023,,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,253911717,POINT (-122.92333 47.03779),PUGET SOUND ENERGY INC,53067012001
JTDACACU0R,Snohomish,Bothell,WA,98012,2024,,PRIUS PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,39,0,1,261008331,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
JTMABACA4R,Yakima,Yakima,WA,98903,2024,,BZ4X,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,273623304,POINT (-120.4778 46.55351),PACIFICORP,53077002803
KNDC4DLC4P,Kitsap,Suquamish,WA,98392,2023,,EV6,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,23,244697281,POINT (-122.55242 47.73162),PUGET SOUND ENERGY INC,53035940100
7SAYGDEE1P,Snohomish,Bothell,WA,98012,2023,TESLA,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,1,256212624,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061052107
5YJYGDEE8L,Thurston,Tumwater,WA,98501,2020,,MODEL Y,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,291,0,35,124633715,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067011720
1N4BZ1CP8K,Kitsap,Kingston,WA,98346,2019,,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,150,0,23,332332080,POINT (-122.4977 47.79802),PUGET SOUND ENERGY INC,53035090102
KNDRJDJH8S,Thurston,Tumwater,WA,98501,2025,,SORENTO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,30,0,22,273909751,POINT (-122.89166 47.03956),PUGET SOUND ENERGY INC,53067010802
WVWPR7AU9K,Snohomish,Edmonds,WA,98020,2019,VOLKSWAGEN,E-GOLF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,125,0,32,476465734,POINT (-122.37689 47.81116),PUGET SOUND ENERGY INC,53061050502
5YJSA1E26G,Kitsap,Bainbridge Island,WA,98110,2016,,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,23,140978687,POINT (-122.521 47.62728),PUGET SOUND ENERGY INC,53035090901
5YJSA1E16G,Kitsap,Port Orchard,WA,98367,2016,,MODEL S,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,210,0,26,218251925,POINT (-122.68516 47.50645),PUGET SOUND ENERGY INC,53035092902
1N4CZ1CV9S,Yakima,Yakima,WA,98908,2025,,LEAF,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,14,272893890,POINT (-120.60272 46.59656),PACIFICORP,53077000401
KNDCS3LF5R,Kitsap,Bremerton,WA,98312,2024,,NIRO,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,33,0,35,269276913,POINT (-122.6563 47.56739),PUGET SOUND ENERGY INC,53035080900
5YJXCBE21J,Snohomish,Bothell,WA,98012,2018,,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,238,0,21,110216655,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051922
WBY1Z2C59F,King,Seattle,WA,98107,2015,,I3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,81,0,43,180600458,POINT (-122.38591 47.67597),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033003400
5UXKT0C53G,Thurston,Lacey,WA,98513,2016,,X5,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,0,22,107864305,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067011622
5YJ3E1EA9J,King,Auburn,WA,98092,2018,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,31,257656696,POINT (-122.1821 47.3199),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033031202
1FMCU0E13R,Kitsap,Bremerton,WA,98311,2024,FORD,ESCAPE,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,37,0,23,269820771,POINT (-122.60915 47.62631),PUGET SOUND ENERGY INC,53035091900
1C4JJXR61P,Thurston,Lacey,WA,98503,2023,,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,21,0,22,261760299,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011421
JHMZC5F32J,Snohomish,Bothell,WA,98012,2018,,CLARITY,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,47,0,21,161019274,POINT (-122.21061 47.83448),PUGET SOUND ENERGY INC,53061051927
1N4AZ1BP3L,Kitsap,Poulsbo,WA,98370,2020,,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,149,0,23,122291851,POINT (-122.64681 47.73689),PUGET SOUND ENERGY INC,53035090502
5YJ3E1EB6K,Thurston,Lacey,WA,98503,2019,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,170379709,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011625
5YJYGDEE0M,Thurston,Lacey,WA,98503,2021,,MODEL Y,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,182875514,POINT (-122.82324 47.04437),PUGET SOUND ENERGY INC,53067011422
5YJ3E1ET2R,Thurston,Olympia,WA,98512,2024,,MODEL 3,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,35,271668505,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067011810
1N4AZ1CP3J,Snohomish,Bothell,WA,98021,2018,,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,151,0,1,280293891,POINT (-122.18384 47.8031),PUGET SOUND ENERGY INC,53061051926
5YJ3E1EA5L,Yakima,Yakima,WA,98902,2020,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,14,102765120,POINT (-120.52401 46.59739),PACIFICORP,53077000301
WAUTPBFF9J,Kitsap,Port Orchard,WA,98366,2018,,A3,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,16,0,26,475641512,POINT (-122.63847 47.54103),PUGET SOUND ENERGY INC,53035092600
WBA8E1C32H,Thurston,Tumwater,WA,98512,2017,BMW,330E,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,14,44100,22,237967635,POINT (-122.9131 47.01359),PUGET SOUND ENERGY INC,53067010910
5YJ3E1EA6K,Thurston,Olympia,WA,98506,2019,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,220,0,22,303247339,POINT (-122.87741 47.05997),PUGET SOUND ENERGY INC,53067010300
JTMAB3FV2R,Yakima,Tieton,WA,98947,2024,,RAV4 PRIME,Plug-in Hybrid Electric Vehicle (PHEV),Clean Alternative Fuel Vehicle Eligible,42,0,14,274022472,POINT (-120.75541 46.70257),PACIFICORP,53077002900
1C4JJXR6XN,Yakima,Yakima,WA,98902,2022,,WRANGLER,Plug-in Hybrid Electric Vehicle (PHEV),Not eligible due to low battery range,22,0,15,203574969,POINT (-120.52401 46.59739),PACIFICORP,53077001100
1FTVW1EV2P,Thurston,Lacey,WA,98516,2023,FORD,F-150,Battery Electric Vehicle (BEV),Eligibility unknown as battery range has not been researched,0,0,22,244844295,POINT (-122.75103 47.08149),PUGET SOUND ENERGY INC,53067012221
5YJXCDE24L,Snohomish,Everett,WA,98208,2020,,MODEL X,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,289,0,21,128631331,POINT (-122.18637 47.89251),PUGET SOUND ENERGY INC,53061041606
5YJ3E1EA9L,King,Duvall,WA,98019,2020,,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,266,0,5,110002784,POINT (-121.98609 47.74068),PUGET SOUND ENERGY INC||CITY OF TACOMA - (WA),53033032401
5YJ3E1EA9J,Thurston,Olympia,WA,98513,2018,TESLA,MODEL 3,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,215,0,2,241589512,POINT (-122.81754 46.98876),PUGET SOUND ENERGY INC,53067012320
1N4AZ0CP0F,King,Seattle,,98126,2015,NISSAN,LEAF,Battery Electric Vehicle (BEV),Clean Alternative Fuel Vehicle Eligible,84,0,34,107794844,POINT (-122.36893 47.54701),CITY OF SEATTLE - (WA)|CITY OF TACOMA - (WA),53033011500
